phenotype,neighbour_phenotype,INT Donor B,pvalue_INT Donor B,INT Donor E,pvalue_INT Donor E
Exhausted T-cells,Treg,0.25944333996023855,3.40120274540422e-63,0.2904874703902257,1.2197219166441104e-185
Exhausted T-cells,myeloid-derived cells,-0.09145129224652088,8.522661785384621e-82,-0.019074928313177912,2.1241143484049672e-284
Helper T-cells,B-cells,-0.32282707679854294,5.037716889677806e-05,-0.2565700352208074,0.0
Helper T-cells,Cytotoxic T-cells,0.9787513912779521,0.0,0.8503793010024384,0.0
Helper T-cells,DZ B-cells,-0.13766062936355358,0.0,-0.060146301815226226,0.0
Helper T-cells,Exhausted T-cells,0.01052312050996661,0.08085820846775464,-0.04091032240585207,0.12747279144609533
Helper T-cells,Helper T-cells,1.0,0.0,1.0,0.0
Helper T-cells,LZ B-cells,-0.0679449559850248,0.0,-0.01645895421295042,0.0
Helper T-cells,Other,-0.06450470504907417,0.0,-0.10782985640747765,0.0
Helper T-cells,Stroma,-0.7498735201861784,3.894589900545474e-19,0.8058791655377946,2.956580643847243e-09
Helper T-cells,TFH,-0.6153495902054033,3.260811208486895e-09,-0.6576808452993769,2.088806620753121e-158
Helper T-cells,Treg,0.2600930891429728,0.0,0.7699133026280142,0.0
Helper T-cells,myeloid-derived cells,-0.1090761914398462,0.0,-0.09665402329991872,0.0
LZ B-cells,B-cells,-0.1247309365697275,2.9408736966304824e-47,-0.03450138768246436,0.0
LZ B-cells,Cytotoxic T-cells,-0.03636363636363636,0.0,-0.004862185123196542,0.0
LZ B-cells,DZ B-cells,-0.10074421799862607,5.088747727577279e-97,-0.02541259719073748,0.0
LZ B-cells,Exhausted T-cells,-0.002198305472864667,1.4829402581901018e-18,-0.0016895828478210207,0.0
LZ B-cells,Helper T-cells,-0.0153766888023815,0.0,-0.0012870490031990846,0.0
LZ B-cells,LZ B-cells,1.0,0.0,1.0,0.0
LZ B-cells,Other,-0.02291046485001145,0.0,-0.10843520264401178,0.0
LZ B-cells,Stroma,-0.04805358369590108,0.0,-0.019803605855808138,0.0
LZ B-cells,TFH,0.39713762308220746,0.0,-0.18841232177284378,0.0
LZ B-cells,Treg,-0.027158232196015573,0.0,-0.002002076227198576,0.0
LZ B-cells,myeloid-derived cells,-0.03290588504694298,0.0,-0.01986716383127476,0.0
Other,B-cells,-0.10597014925373134,0.0,-0.014024285958611252,0.0
Other,Cytotoxic T-cells,-0.10119402985074626,0.0,-0.019405963171997036,0.0
Other,DZ B-cells,0.3486567164179104,4.00938640577255e-260,-0.04613762043213044,0.0
Other,Exhausted T-cells,-0.0004776119402985074,4.848569122594685e-25,-0.00042186876460863123,0.0
Other,Helper T-cells,-0.07611940298507462,0.0,-0.009075879368337038,0.0
Other,LZ B-cells,-0.11946268656716419,0.0,-0.11671512456530414,0.0
Other,Other,1.0,0.0,1.0,0.0
Other,Stroma,0.7013731343283581,3.7461480880953267e-54,-0.09546206031583149,0.0
Other,TFH,-0.022865671641791045,0.0,-0.0033236417536058375,0.0
Other,Treg,-0.012835820895522387,0.0,-0.019360355737985294,0.0
Other,myeloid-derived cells,0.8592835820895522,0.0,0.31090587765805827,0.0
Stroma,B-cells,0.16585802250233728,1.5879121691437433e-09,-0.16078805066430793,0.0
Stroma,Cytotoxic T-cells,-0.13631967503788,0.0,-0.0784859068236324,0.0
Stroma,DZ B-cells,0.2318740127018924,0.0,0.09535577177352435,1.4927793278365028e-19
