phenotype,neighbour_phenotype,LN Donor A,pvalue_LN Donor A,LN Donor E,pvalue_LN Donor E
myeloid-derived cells,B-cells,-0.38150289017341044,5.778414198451266e-13,-0.6351437699680511,7.283184046974559e-05
myeloid-derived cells,Cytotoxic T-cells,-0.4742292870905588,5.548507969697946e-18,1.0,6.700688579894431e-54
myeloid-derived cells,DZ B-cells,-0.03835500963391137,2.686559234176383e-07,-0.08600638977635783,7.609419633761879e-192
myeloid-derived cells,FDC,-0.023843930635838152,0.04114774531398479,-0.02204472843450479,1.0270295934843181e-45
myeloid-derived cells,Helper T-cells,0.482478323699422,0.20824245102301342,0.9678594249201278,3.653234957022249e-120
myeloid-derived cells,LZ B-cells,-0.1795520231213873,0.0,-0.1934185303514377,0.0
myeloid-derived cells,Other,0.017220616570327554,1.4179578380938968e-10,0.01514376996805112,0.0032235757107914676
myeloid-derived cells,Stroma,1.0,7.056733639420408e-118,0.7205111821086262,9.580111063549887e-77
myeloid-derived cells,TFH,-0.15197495183044316,9.037354580476647e-198,-0.1845367412140575,3.864867784146328e-86
myeloid-derived cells,Treg,0.13342967244701348,1.2629002389486924e-121,0.28453674121405753,0.0
myeloid-derived cells,myeloid-derived cells,0.5239643545279384,0.0,0.3646006389776358,0.0
